"SR","LOCATION","WELL NO.",pH,EC,CO3,HCO3,Cl,SO4,NO3,F,PO4,Ca,Mg,Na,K,SiO2,"T.H",SAR,RSC

1,Balana,53B-3C2,8.1,2091,0,503,257,350,55,0.65,1.53,55,72,330,60,27,434,6.89,-0.4

2,Pinjola,53B-3C3,8.51,1338,92,376,108,85,1.5,0.39,0.45,37,31,177,97,21,219,5.20,4.9

3,Kakru,53B-3D8,8.62,2926,99,383,288,385,129,0.50,0.15,10,115,280,260,29,500,5.45,-0.4

4,Panjokhera,53B-3D9,8.51,3857,118,327,654,430,143,0.73,0.04,14,144,508,172,21,628,8.82,-3.2

5,Naraingarh,53F-3A1,8.34,286,6.6,134,18,0,6.1,0.39,0.03,17,12,25,1.3,24,92,1.13,0.6

6,Mulana,53F-3A4,7.88,3971,0,67,857,448,460,0.61,0.03,282,149,371,6.0,25,1317,4.45,-25.2

7,Dhanaura,53F-3A12,8.29,572,0,160,83,38,2.1,0.26,0.03,27,13,80,2.6,24,122,3.15,0.2

8,Khan Amdalpur,53F-4B3,8.26,375,0,187,36,0,0,0.37,0.05,17,25,26,2.8,14,148,0.93,0.1

9,Seha,53B-3DP3,8.3,482,0,274,14,19,3.7,0.56,0.02,14,30,49,1.3,22,158,1.70,1.3

10,Ambala Race Course,53B3DP5D,8.48,991,33,381,83,19,0,0.90,0.03,12,38,150,0.9,12,184,4.82,3.7

12,Uplana,53F-3AP2,8.33,695,13,140,112,45,27,0.61,0.03,35,28,70,3.4,22,204,2.13,-1.3

1,Siwani,44P-1C1,8.91,3092,48,415,497,360,245,2.22,nd,10,164,480,2.1,25,701,7.90,-5.6

2,Miran,44P-1C3,8.40,2224,12,55,311,380,252,0.14,nd,164,41,175,142,29,580,3.17,-10.3

3,Ishwarwal,44P-1C4,8.74,2177,60,116,343,160,365,0.52,nd,26,113,230,118,27,530,4.35,-6.7

4,Gurera,44P-1C5,7.98,4008,0,110,993,420,233,0.31,nd,44,285,410,7.8,28,1281,4.98,-23.8

5,Bhiwani,53D-1AP2,8.29,1096,0,128,113,288,8.9,0.65,nd,46,36,142,4.4,19,265,3.81,-3.2

6,Badala,53D-1B6,8.98,1879,42,262,365,148,3.9,3.86,0.01,24,100,240,3.5,17,470,4.81,-3.7

7,Bajina,44P-2D2,8.25,3730,0,183,489,600,730,0.29,nd,216,198,320,12,36,1356,3.78,-24.1

8,Bohal,44P-1D3,8.48,663,18,159,44,118,8.5,1.5,nd,30,55,26,2.6,21,300,0.65,-2.8

9,Hetampura,44P-2D6,8.40,1820,9,152,259,110,357,0.64,nd,120,58,86,169,23,540,1.61,-8.0

10,Jui Kallan,44P-2D3,8.75,868,24,244,77,102,5.8,2.75,nd,16,6.1,183,1.2,14,65,9.87,3.5

11,Dhanana,53D-1A1,8.51,661,24,116,51,120,0,0.68,nd,36,22,72,3.4,17,180,2.33,-0.9

12,Bawanikhera,53D-1A2,8.34,3182,6.0,146,365,1024,30,3.07,nd,90,128,475,7.6,20,751,7.54,-12.4

13,Bamla,53D-1A3,8.40,1105,12,153,190,136,3.1,0.7,nd,28,35,165,1.7,22,215,4.91,-1.4

14,Sui,53D-1A4,8.54,2148,24,323,489,100,27,0.72,nd,44,75,200,240,30,420,4.25,-2.3

15,Baund Kallan,53D-1B5,8.65,1928,42,104,424,164,74,0.76,nd,54,108,150,73,26,580,2.71,-8.5

16,Naya Atela,53D-2A1,9.06,1192,48,421,69,56,81,0.56,nd,8,8.5,280,2.6,26,55,16.44,7.4

17,Halluwas,53D-2A2,8.47,4328,24,262,1073,344,88,0.65,nd,32,212,430,296,35,951,6.06,-13.9

18,Lohani,53D-2A5,8.10,2927,0,183,343,530,425,0.19,nd,150,164,150,132,35,1051,2.01,-18.0

19,Dadri,53D-2B2,8.29,8552,0,275,1263,1760,1683,2.55,nd,106,482,1360,16,26,2245,12.48,-40.4

20,Sanwar,53D-2B4,8.26,1762,0,110,409,148,8.1,0.79,nd,100,66,151,3.2,17,520,2.88,-8.6

21,Mehrana,53D-2B5,8.56,2401,24,226,486,54,290,0.45,nd,28,129,290,2.5,30,600,5.15,-7.5

22,Chiriya,53D-3B1,8.75,3067,42,287,635,340,61,2.01,nd,16,156,440,2.9,21,680,7.33,-7.5

23,Jhumpa,44P-1C2,8.72,1392,60,330,150,66,140,2.48,nd,20,117,115,0.7,23,530,2.17,-3.2

24,Manheru,53D-2A4,7.75,1825,0,98,373,208,139,0.21,nd,106,52,220,2.1,38,480,4.38,-8.0

25,Pataudi,44P-1DP3,9.25,4374,96,866,745,200,150,19.2,0.092,16,51,1050,3.9,17,250,28.91,12.4

26,Sagban,44P-1DP4,8.61,548,24,134,40,42,22,1.39,nd,38,23,18,40,26,190,0.57,-0.8

27,Baliandpur,,8.66,1478,36,305,175,160,31,1.15,nd,28,83,83,135,33,410,1.78,-2.0

28,Tosham,44P-1D1,8.43,834,12,323,73,50,12,0.85,0.008,26,58,31,64,34,305,0.77,-0.4

29,Kalanagar,53D-1B1,8.27,2908,0,519,562,260,48,0.77,nd,40,167,340,23,21,786,5.27,-7.2

30,Gopi,44P-2DP1,9.14,4058,120,592,599,650,19,0.45,0.031,10,50,950,3.8,28,230,27.22,9.1

31,Singwani,44P-2DP4,8.15,2478,0,305,391,280,222,0.88,0.004,16,28,530,2.6,23,155,18.51,1.9


1,Pali,53H-3AP2,9.08,2911,106,416,559,240,18,0.75,nd,27,45,615,27,28,250,16.92,5.3

2,Bhopani,53H-3BP5,8.41,737,33,255,63,4.8,18,1,nd,12,31,97,3.5,22,158,3.36,2.1

3,Tigori,53H-4BP16,8.3,1679,0,148,375,145,46,0.68,nd,39,50,255,2.0,34,301,6.39,-3.6

4,Jawan,53H-4BP5,9.3,2870,185,389,368,275,23,1.5,nd,8,42,595,8.0,31,194,18.59,8.7

5,Kabulpur,54E-3BP9,8.9,1251,79.2,356,111,95,14,1.05,nd,8.2,36,240,5.0,25,168,8.05,5.1

6,Amarpura,53H-4BP9,8.3,2719,0,201,389,700,40,0.91,nd,16,98,482,16,28,444,9.95,-5.6

7,Nh Iv,53H-3BP3,8.29,2104,0,161,542,186,18,0.73,nd,2.0,37,427,19,27,158,14.77,-0.5

8,Bamnikhera,53H-4B7,8.93,1878,79,282,208,200,100,0.71,nd,37,27,308,76,31,204,9.38,3.2

9,Khambi,54E-1BP2,8.96,3562,99,510,625,450,28,0.48,nd,35,66,752,10,27,357,17.31,4.5

10,Dighaut,53H-4BP3,8.18,1375,0,201,240,150,74,0.36,nd,22,50,203,8.5,23,260,5.48,-1.9

11,Balabgarh,53H-3BP1,8.76,2931,19.8,289,615,275,81,0.81,nd,49,79,488,30,24,449,10.02,-3.6

12,Barauli,53H-4BP2,8.76,1854,20,201,386,230,10,0.75,nd,18,69,312,6.0,26,332,7.45,-2.7

13,Sikri,53H-3BP6,8.8,4611,66,282,1087,450,70,0.75,nd,41,193,702,40,27,898,10.19,-11.1

14,Pehladpur,,8.7,545,20,154,69,10,24,0.5,nd,20,32,50,3.7,30,184,1.61,-0.5

15,Kot,54E-1A7,8.3,2797,40,248,622,270,63,0.72,nd,61,125,381,4.0,30,669,6.41,-8.0

16,Badraun,53H-4BP4,8.95,1038,66,289,122,10,16,0.23,nd,12,22,180,39,30,122,7.08,4.5


1,Samain,44O-2D3,8.69,1560,42,429,204,175,29,0.97,nd,33,103,74,198,13,505,1.43,-1.7

2,Tohana,44O-2D1,9.04,1430,59,338,147,106,101,2.23,nd,16,35,271,8.6,8.6,185,8.69,3.8

3,Badopal,44O-3C1,8.22,4530,0,97,386,1850,61,0.19,nd,152,113,801,24,18,845,11.99,-15.3

4,Jandli Kalan,44O-2CP5,8.3,840,0,181,77,220,18,1.09,nd,87,49,40,4.8,16,412,0.85,-5.4

5,Aharwan,44O-2CP4,8.92,1647,83,302,182,290,24,0.53,nd,29,93,235,9.2,14,453,4.79,-1.4

6,Ratia,44O-2CP2,8.68,435,24,193,7,70,0.6,2.23,nd,16,20,73,3.2,9.9,124,2.87,1.5

7,Mehuwala,,8.62,2160,36,254,302,500,70,3.01,nd,37,78,369,13,10,412,7.90,-2.9

1,Kherla,53H3AP6,7.42,1146,0,215,154,80,120,0.39,0.17,94,31,95,5,19,363,2.17,-3.7

2,Shahsola,,7.91,605,0,251,63,27,26,0.66,0.12,43,26,59,1.5,22,216,1.75,-0.2

3,Kashan,53D3DP3,8.04,1255,0,156,155,185,137,0.47,0.11,59,21,190,3,21,235,5.41,-2.1

4,Pataudi,44P-1DP3,8.45,1010,35,203,112,85,78,0.38,0.05,20,19,188,1.8,23,127,7.23,1.9

5,Haily Mandir,53D-3DP6,8.51,2665,59,311,470,310,109,1.55,0.02,16,48,550,2,22,235,15.53,2.3

6,Manchana,53D-3DP8,8.48,1975,47,239,358,220,20,1.19,0.02,24,26,398,2.5,22,167,13.40,2.1

7,Jamalpur,53D-3DP11,8.22,725,0,287,70,33,54,0.33,0.02,27,29,103,1.8,21,186,3.28,1.0

8,Gurgaon,53D-3DP5,8.12,870,0,490,21,68,46,1.75,0.01,24,26,172,2,22,167,5.79,4.7

9,Jaraon,,8.04,365,0,167,14,64,0.24,1.2,0.00,24,26,28,0.2,22,167,0.94,-0.6

10,Basonda,,8.14,1735,0,347,344,105,17,0.39,0.00,24,33,319,4,18,196,9.92,1.8

11,Chandu,53D-3DP7,8.36,625,24,180,56,54,43,0.34,0.025,24,38,67,5.7,,216,1.98,-0.6

12,Jhanjrola,53H-3AP9,8.19,300,0,96,28,68,0.07,0.28,nd,39,14,13,3,11,157,0.45,-1.5

13,Wazirpur,53D-2C5,8.64,1580,71,347,140,210,111,2.01,0.025,12,31,350,2.5,18,157,12.13,4.9

14,Meoka,53D-3DP9,8.41,1230,71,383,84,160,34,1.3,nd,27,26,262,2.4,21,176,8.63,5.2

15,Manesar,53D-3DP12,7.48,2510,0,120,765,19,10,0.19,nd,106,38,355,7.5,26,421,7.53,-6.4

16,Maozabad,53D-,7.68,3035,0,359,709,165,21,0.6,nd,90,69,449,2,25,510,8.66,-4.3

17,Sikarwa,54E-1A3,8.25,3073,0,181,639,335,99,0.76,nd,82,124,265,222,23,715,4.31,-11.3

18,Luhinge Kalan,54E-1A5,8.99,1670,92,235,261,135,3.2,0.88,nd,29,62,252,1.0,31,327,6.07,0.4

19,Gulatha,54E-1A8,8.35,584,6.6,201,69,0.0,25,0.68,nd,31,20,61,3.5,24,158,2.11,0.4

1,Uklana,44O-2D2,8.76,3590,36,181,554,740,157,2.65,nd,37,85,664,13,18,443,13.74,-4.7

2,Agroha,44O-3C2,8.88,3310,59,302,512,720,69,0.77,nd,10,118,613,15,26,526,11.81,-3.3

3,Siwani,44O-3C3,8.63,2145,24,181,526,200,53,0.11,nd,33,83,245,182,13,422,5.18,-4.7

4,Sahu,44O-3D6,8.63,2330,36,483,119,630,20,5.4,nd,25,45,483,11,22,247,13.36,4.2

5,Bhambhauri,53C-3AP3,9.18,2675,190,580,379,95,9.9,4.71,0.02,41,55,509,7,24,330,12.22,9.3

6,Rajli Cross,44O-3D8,8.45,298,12,97,14,66,0,0.53,nd,37,18,9.8,1.7,15,165,0.33,-1.3

7,Kirori,44O-3D9,8.44,2415,24,73,449,300,272,0.24,nd,62,163,166,65,28,824,2.51,-14.5

8,Balsamand,44O-4B2,8.33,7590,18,212,1425,1750,17,1.18,0.11,190,268,1133,36,15,1576,12.41,-27.4

9,Khanda Kheri,53C-4AP1,8.38,1470,24,290,183,288,13,0.48,nd,95,43,196,5.9,26,412,4.19,-2.7

10,Channaut,44O-4D1B,8.01,4060,0,242,814,390,489,0.66,0.01,161,275,235,100,24,1535,2.61,-26.7

11,Chadhriwas,44O-4C3,8.57,1725,30,175,168,560,24,2.89,nd,58,170,92,11,11,845,1.38,-13.0

12,Basra,44O-4C5,8.47,2620,18,139,330,800,6.8,2.6,nd,87,95,380,14,5.5,608,6.71,-9.3

13,Kirtan,44O-4C6,8.34,1520,12,121,337,250,11,0.23,nd,70,70,139,89,20,465,2.81,-6.9

14,Dhansu,44O-4D4,7.77,2869,0,181,498,260,481,0.27,nd,218,121,173,77,26,1041,2.33,-17.9

15,Umra,44O-4D5,8.11,2190,0,72,463,440,11,0.48,0.28,202,95,135,6,24,896,1.96,-16.7

16,Adampur,44O-3BP2,8.69,4299,36,266,498,1300,75,0.45,nd,29,148,798,22,13,680,13.30,-8.1

17,Balawas,44P-1D5,9.1,2092,131,580,302,12,114,0.36,0.32,33,153,139,166,21,711,2.27,-0.4

18,Mothmajra,53C-4A2,8.79,1210,36,241,119,322,19,0.84,nd,39,45,236,6,25,258,6.11,-0.5

19,Rampur Damundi,53C-4A3,8.34,2675,24,314,576,200,72,0.51,nd,78,128,197,177,26,721,3.19,-8.5

20,Bas,53C-4A5,8.2,6277,0,97,948,1150,1270,0.84,nd,330,410,394,234,31,2513,3.42,-48.6

21,Gainpura,53C-3A9,8.84,3015,71,326,519,540,96,1.92,nd,25,233,334,14,30,1019,4.55,-12.7

22,Narnaud,53C4AP1S,8.41,2607,36,326,309,320,249,0.82,nd,33,48,464,7,24,278,12.07,0.9

23,Kheri Jalab,53C-3AP4,8.72,1437,24,109,253,320,30,0.83,nd,41,85,171,20,17,453,3.50,-6.4

24,Hissar,54O-4CP2,7.92,6570,0,169,1404,1550,6.5,0.84,nd,111,248,1138,7.5,24,1298,13.75,-23.2

25,Sorkhi,53C-4AP2,8.68,2560,36,193,582,210,75,0.33,nd,41,135,198,178,26,659,3.36,-8.8

26,Mangali,44O-4CP3,9.04,5560,107,616,912,1100,119,2.4,nd,16,85,1284,6,13,391,28.30,5.9

27,Kanoh,44O-3DP4,8.59,1635,36,169,323,155,62,0.24,nd,29,108,144,31,24,515,2.76,-6.4

28,Sadalpur,44O-3B4,8.66,740,30,175,49,195,18,0.41,nd,29,65,48,21,11,340,1.13,-2.9

29,Rajthal,53C-3A7,8.55,440,24,157,14,68,5.3,0.7,nd,41,22,31,2.8,23,196,0.97,-0.5

30,Juglan,44O-3D7,8.59,1076,53,61,91,300,13,0.63,nd,45,33,146,5.6,25,268,4.03,-2.2

31,Mohel Khera,53C-2AP3,8.65,465,36,109,49,84,2.8,1.14,nd,29,50,12,7,21,278,0.31,-2.6

32,Ghaso Khurd,53C-2A6,8.35,1070,24,181,225,62,11,0.43,nd,74,78,28,13,28,505,0.54,-6.3

33,Dhandoli,53C-1AP1,8.54,960,48,459,63,36,12,0.45,nd,33,50,137,6.2,30,288,3.51,3.4

34,Baroda,,8.86,4005,59,350,484,1175,12,8.22,nd,41,120,775,17,26,578,13.81,-4.2

35,Jallana,,8.08,1640,0,278,140,370,28,2.95,nd,99,85,109,5.5,20,597,1.94,-7.4

1,Salawas,53D-3B2,9.00,1111,108,134,132,75,14,8.62,nd,10,3.6,255,0.4,25,40,17.59,5.0

2,Chuchakwas,53D-2C3,8.14,4467,0,73,1329,264,75,1.64,nd,257,187,410,9.8,45,1411,4.75,-27.0

3,Bagoa,53D-2B8,9.14,1419,114,165,223,52,27,1.25,nd,14,55,150,114,25,260,4.04,1.3

4,Jhajjar,53D-2C2,8.53,1265,24,31,223,205,40,0.46,nd,70,63,88,3.2,31,435,1.84,-7.4

5,Dighal,53D-1C2,8.48,16980,30,513,3250,2040,1844,0.52,nd,70,347,1118,3765,21,1601,12.15,-22.6

6,Chamanpura,53D-2C1,8.66,1329,30,85,124,372,1.5,0.76,nd,50,88,91,9.1,17,485,1.79,-7.3

7,Chhara,53D-2C7,9.25,4964,138,555,701,480,515,1.7,nd,10,94,364,1090,18,410,7.81,5.5

8,Gabhana,53D-2DP2,8.48,1080,30,421,106,3.6,41,1.88,nd,34,40,123,56,28,250,3.39,2.9

9,Dulehra,53D-2D9,8.60,4896,36,165,1344,365,108,0.46,nd,60,233,508,280,23,1111,6.64,-18.3

10,Kulasi,53D-1D11,9.15,1244,120,299,62,100,0.3,15.2,nd,10,2.4,296,7.9,10,35,21.82,8.2

11,Sankhol,53D-2D1,8.67,485,30,128,16,59,7.3,4.69,nd,30,28,18,23,12,190,0.57,-0.7

12,Majra,53D-2BP2,8.10,5850,0,61,1767,490,37,0.24,nd,481,243,430,4.8,21,2202,3.99,-43.0

13,Dubal Dhan,53D-2B6,8.19,5030,0,49,818,ND,ND,0.32,nd,417,199,252,194,21,1861,2.54,-36.4

14,Wazirpur,53D-2C5,8.40,7191,12,85,1241,820,1452,0.28,nd,168,428,413,650,22,2182,3.85,-41.8

15,Mundsa,53D-2B7,8.79,2468,84,140,391,400,15,2.69,nd,26,58,452,5.2,24,305,11.29,-1.0

16,Subnah,53D-3C8,8.23,4530,0,116,1344,315,11,0.88,nd,140,195,557,1.0,30,1151,7.14,-21.1

1,Korar,53C-2A5,8.38,2286,59,580,309,130,15,0.84,0.03,58,88,293,16,28,505,5.66,1.3

2,Bhusalana,53C-3BP2,8.94,1040,59,483,49,31,0,0.93,nd,16,43,175,2.7,18,216,5.17,5.5

3,Chabri,53C-3B3,8.77,1965,47,351,154,420,23,2.1,nd,33,90,270,7,18,453,5.52,-1.7

4,Jhanj Kalan,53C-3B7,8.76,6860,48,363,1109,1960,19,0.99,nd,37,185,1441,16,27,855,21.46,-9.5

5,Pillu Khera,53C-3B9,9.18,1470,83,532,77,110,11,4.25,0.270,25,27,298,2.3,19,175,9.84,8.0

6,Brahamanwas,53C-4B2,7.74,2820,0,133,856,114,12,0.27,nd,243,130,137,8.2,22,1144,1.76,-20.6

7,Jamula,53C-4B3,8.71,1050,36,145,218,86,5.4,0.83,nd,29,90,37,48,26,443,0.77,-5.3

8,Safidon,53C-3C1,8.34,430,24,145,21,24,3.1,2.95,nd,45,17,16,3,15,185,0.52,-0.5

9,Nahla,44O-3D1,8.27,250,0,97,14,75,2.2,0.38,nd,37,17,5.4,3.1,4.1,165,0.18,-1.7

10,Kishanpura,53C-3BP3,9.14,1315,83,411,84,98,26,1.65,nd,12,52,215,5.5,24,247,5.99,4.6

11,Alewa,53C-3B1,9.18,1897,119,881,63,68,3.9,4,0.01,16,38,411,5,24,196,12.76,14.5

12,Dudhana(Dorana),53C-2BP3,8.31,2390,36,495,288,336,15,0.24,nd,29,115,308,19,23,546,5.74,-1.6

13,Uchana,53C-3A1,8.86,2460,59,302,365,320,195,0.77,nd,29,90,415,11,29,443,8.58,-1.9

14,Narwana,53C-3C2,8.86,3950,59,471,484,810,3.5,18,0.07,41,45,811,12,17,289,20.81,3.9

15,Khatkaran,53C-3A2,8.12,1760,0,206,422,52,113,0.18,nd,111,73,149,7,29,577,2.70,-8.2

2,Padla,53C-1BP1,7.7,1553,,696,119,100,14,0.28,nd,67,79,159,10,27,494,3.12,1.6

3,Guhna,53C-1B3,8.37,2757,,543,320,550,0.8,0.72,nd,76,87,419,12.0,21,546,7.79,-2.0

4,Kalayat,53C-2B2,7.54,4831,,439,871,980,45,0.26,nd,303,216,448,18.0,31,1645,4.81,-25.7

5,Mataur,53C-2B6,7.61,6837,,763,912,1000,852,1.62,nd,130,180,1125,71.0,25,1067,15.00,-8.8

6,Kelram,53C-2B3,7.79,7398,,610,1157,1600,57,1.85,nd,139,128,1360,17.0,21,872,20.02,-7.5

7,Kaithal,53C-1BP2,8.00,2718,,964,211,178,70,4.6,nd,59,49,451,15.0,25,347,10.51,8.8

8,Mundri,53C-1C7,8.29,626,,317,6.7,45,4.9,0.81,nd,27,17,25,97,18,137,0.93,2.4

9,Pundri,53C-1C4,7.64,1731,,708,160,100,6.1,0.64,nd,93,66,178,7.4,26,504,3.45,1.5

10,Jateri,53C-2C7,7.05,1082,,439,88,65,15,0.3,nd,86,70,74,13,28,389,1.44,-2.9

11,Rajaund,53C-2B4,8.02,2346,,336,228,550,0,0.68,nd,34,28,450,3.3,15,200,13.84,1.5

12,Jakhauli,53C-2BP4,7.95,4266,,781,517,850,26,3.72,nd,36,35,950,13,19,231,27.03,8.1

13,Bhama,53C-2CP4,8.09,2150,,744,112,400,8.6,0.74,nd,57,49,386,7.6,17,342,9.06,5.3

14,Sisala,53C-2CP5,8.16,882,,537,17,0,2.7,0.7,nd,51,19,116,7.4,21,205,3.52,4.7

15,Kathana,53C-2BP5,8.15,3477,,1330,313,250,29,8.3,nd,15,12,828,6.6,19,84,38.66,20.1

16,Peoda,53C-1BP5,8.14,3322,,464,527,325,126,9.46,nd,34,38,572,175,23,242,16.02,2.8

17,Kheorak,53C-1BP3,7.63,2460,,1081,150,100,15,0.51,nd,69,55,414,8.2,28,399,9.02,9.7

18,Manaspati,53C-1BP4,7.42,2050,,848,216,64,11,1.86,nd,63,77,273,9.2,32,473,5.46,4.4

1,Dhomsi,53G-1AP4,7.82,721,,415,20,5,16,1.07,nd,53,27,65,7,25,242,1.81,1.9

2,Indri,53G-1AP8,8.06,344,,176,6.7,20,0.2,1.18,nd,38,14,10,3.4,24,152,0.35,-0.2

3,Karnalcity Inst,53C-2DP1,8.02,598,,365,24,5,0.2,1.24,nd,44,28,52,4.6,25,226,1.51,1.5

4,Salwan,53C-2C6,8.84,1073,31,251,105,145,21,0.63,nd,19,69,102,24,28,331,2.44,-1.5

5,Bala,53C-2D10,8.3,596,,264,17,65,8.5,0.62,nd,34,20,65,6,27,168,2.19,1.0

6,Jundala,53C-2D2,7.64,1391,,666,99,55,11,0.67,nd,59,54,172,12,29,368,3.89,3.5

7,Charpura,53G-1AP2,8.08,423,,232,10,65,0,0.52,nd,32,10,67,3,23,121,2.65,1.4

8,Sheikhpura,53G-2AP1,7.71,698,,339,17,95,0,0.42,nd,67,34,39,4.7,28,310,0.97,-0.6

