"Sl. No.","[District:]Location","May(2004-2013)","August(2004-2013)","November(2004-2013)","January(2005-2014)"
1.,AMBALA:Ambala Cantt,-,-,-0.49,-
2.,Balana,-0.59,-,-,-
3.,Dhanaura,-0.83,0.11,-0.01,-0.31,
4.,Kakru,-1.85,-0.88,-0.39,-0.70,
5.,Khanahmadpur,-0.62,-0.38,-0.15,-1.14,
6.,Mulana,-1.57,-,-1.03,-,
7.,Naraingarh,-1.55,-,-,-,
8.,Panjokhra,-2.56,-,-0.44,-1.81,
9.,Pinjola,-,-,-0.06,-,
10,Saha S,-,-,-,-,
11,BHIWANI:Badala,-1.08,-,-0.09,-
12,Bajina,0.99,1.07,1.32,1.47,
13,Bamla,-1.25,-,-1.13,-1.39,
14,Baundkalan,-1.67,0.43,-0.06,-0.84,
15,Bhawani khera DW,-1.38,-,-0.93,-1.04,
16,Bhawani Khera Pz,-0.77,-,-0.08,-,
17,Bohal,-2.75,-2.39,-2.47,-2.61,
18,Chirya,0.43,1.32,3.75,3.12,
19,Dadri1,-0.25,-,-,-,
20,Dadri-Pz,-,-,-0.31,-,
21,Dhanana,-0.58,0.26,0.06,-,
22,Gopi,6.75,-,6.82,-,
23,Gurera,-0.05,0.62,-0.25,-,
24,Gurera-pz,-0.33,-,-0.06,-,
25,Haluwas,-0.48,-0.28,0.89,1.13,
26,Imlota,-,-,-0.41,-,
27,Isharwal,-0.33,-,0.07,-,
28,Jhumpa,0.20,0.51,-0.42,-0.51,
29,Jhumpa PZM,-,-,-0.33,-,
30,Jhumpa Kalan,-0.57,-,-,-,
31,Juikalan,-,-,4.19,-,
32,Juikalan Pz,4.71,-,0.39,-,
33,Lohani,-1.01,0.11,-0.57,-,
34,Manhairu,-0.80,-,-0.28,-0.09,
35,Mauhala,-1.20,-,-1.05,-0.35,
36,Mehrana,-5.09,-,-4.84,-,
37,Miran,-2.41,-,-0.78,-,
38,Miran-Pz,-0.40,-,-0.11,-,
39,Nayaatela,2.11,-,3.64,2.92,
40,Pataudi Khurd,-0.36,-,-,-,
41,Sagban,-2.44,--,-,-,
42,Sangwan PZM,-1.79,-,-1.66,-,
43,Sanwar,-0.48,-,-1.02,-,
44,Singhani-pz,10.67,-,10.77,-,
45,Siwani,0.17,0.17,0.28,0.10,
46,Sui,-1.21,-0.79,-0.51,-0.87,
47,Tosham,-1.74,-0.31,-,-
48,Tosham-Pz,-2.03,-,-1.25,-1.14,
49,FARIDABAD:Achheja,-0.54,-,2.19,-
50,Badraun,1.75,-,3.99,-,
51,Baghaula,-2.69,-,-2.26,-2.98,
52,Ballabhgarh,1.95,-,-4.79,-,
53,Barauli-Pz,0.08,-,3.18,-,
54,Bhopani,2.83,-,3.41,-,
55,Dighaut,0.54,-,1.33,-,
56,Hathin,0.46,-,-,-,
57,Hasanpur,-,-,4.10,-,
58,Jaindapur,2.74,-,3.84,-,
59,Jawan- Pz,-,-,-,-,
60,Kabulpur,2.05,-,4.59,-,
61,Khambi,-0.55,-,-0.02,-,
62,Kot,-1.35,-,2.21,-2.10,
63,Lakhnaka,0.89,-,0.13,-,
64,Lalwa,1.51,-,-,-,
65,NH-IV CHQ PZ S,0.38,-,2.03,-,
66,Pali2,4.12,-,7.69,-,
67,Palwal,0.95,-,2.73,-,
68,Palwal-Pz,0.30,-,1.67,-,
69,Pehladpur-Pz,-,-,-1.81,-,
70,Pelak-Pz,-,-,-,-,
71,Rasul Pur,0.47,1.71,-,-,
72,Thekarka,-4.26,-,-,-,
73,Tigaon-Pz,-,-,-,-,
74,Tumsara,-1.70,-,-,-1.11,
75,FATEHABAD:Aharwan S,5.59,-,4.48,-
76,Badopal,0.52,0.85,0.89,0.65,
77,Jandli Kalan,-0.28,-,0.66,-,
78,Mehu Wala Pz,-0.59,-,0.04,-,
79,Nahla,-0.20,0.71,1.58,1.23,
80,Ratia- Pz,-,-,0.97,-,
81,Sadalpur,-0.36,1.48,0.14,0.05,
82,Samain,0.65,-,-0.32,-,
83,Sohu,-0.51,0.19,-,0.08,
84,Tohana,-,-,3.80,4.23,
85,Uklana Mandi-Pz,1.84,-,-,-,
86,GURGAON:Akaira,-0.64,1.30,-2.66,2.73
87,Akbarpur,-0.02,-0.02,-0.25,-0.05,
88,Basonda Tripati-Pz,-,-,0.72,-,
89,Chandu Tikly,-0.42,-,-,-,
90,Firozepur Jhirka,-0.48,-0.51,2.14,-,
91,Fazilpur Badli-Pz,-,-,2.58,2.60,
92,Gulaltha,-1.96,-,-0.73,-,
93,Gurgaon,-,-,4.49,-,
94,Gurgaon Pz,2.64,-,-,-,
95,Indri,-,3.23,1.05,-,
96,Jaraon Pz,-0.68,-,0.11,-,
97,Jhanjrola,0.14,-,-0.11,-,
98,Khera Khurrampur- Pz,-,1.08,-,4.51,
99,Kadipur,-,-,12.30,-,
10,Kasan,6.66,-,6.56,-,
10,Kheri1,0.15,-,2.42,-,
10,Kherla,0.30,-,-,-
10,Khori kalan,-,-,4.05,-,
10,Lokra – Pz,-,-,2.11,4.48,
10,Luhingakalan,-0.54,-,1.02,-,
10,Malab,-2.06,-0.63,0.13,-,
10,Meoka-Pz,-1.27,-,0.35,-,
10,Mouzabad,3.92,-,-,--,
10,Nagina,-1.68,-,0.94,-,
11,Naharika-Pz,11.39,-,7.02,-,
11,Nurgarh-Pz,-,-,1.38,-,
11,Nuh1,-0.45,-,-,-,
11,Pipaka,3.06,-,-,-,
11,Pipaka-Shashola,3.05,-,2.42,0.39,
11,Siwari-Pz,-,-0.81,-,-,
11,Sikarwa,-1.00,-,1.34,-,
11,Sohna,-13.11,-,-,-,
11,Wazirpur,0.49,-,0.14,-,
11,HISAR:Adampur-Pz,-0.75,-,0.74,0.30
12,Agroha-Pz,-1.34,-,-0.45,-,
12,Balawas1,-1.64,-,-1.51,-2.33,
12,Balsamand,-0.97,-,0.53,-,
12,Balsamand-Pz,-0.31,-,0.74,-,
12,Banbhauri-Pz,0.21,-,0.77,0.94,
12,Barwala abd,1.18,-,-,3.46,
12,Barwala 1,-,2.45,2.77,-,
12,Barwala-Pz,0.07,-,-0.92,-0.38,
12,Bas,0.15,-,0.91,-,
12,Basra,-0.52,-,0.59,-1.64,
13,Behbalpur-Pz,-1.09,-,0.18,-0.87,
13,Chanaut,-0.60,-,0.33,0.27,
13,Chawdhariwas,-1.99,-1.32,-1.41,-0.92,
13,Dhamundicross,-1.25,-,-,-,
13,Dhansu,-1.76,-1.64,-1.24,-,
13,Ghaibipur,-,-,-1.40,-,
13,Ghursal-Pz,-0.38,-,-1.09,-0.32,
13,Hissar-Pz,-0.77,0.09,1.13,0.83,
13,Juglan,0.34,-,0.81,-,
13,Kanoh-Pz,-0.49,0.24,0.30,-0.13,
14,Khanda Kheri-Pz,0.01,-,0.97,-,
14,Kherijalab-Pz,1.65,0.10,-0.82,0.88,
14,Khotkalan,5.07,-,4.87,3.92,
14,Kirori,0.08,-,0.59,-,
14,Kirtan,-0.03,0.26,-0.35,0.33,
14,Mangali-Pz,-1.03,-0.37,-0.05,0.01,
14,Mirka,-,-,1.12,2.52,
14,Mothmajri,1.36,2.55,3.29,-,
14,Narnaud S,2.81,-,4.61,-,
14,Rajli Cross,-1.12,3.21,1.39,0.42,
15,Rajthal1,5.85,-,5.05,-,
15,Samani,-1.88,-1.95,-,-1.33,
15,Sorkhi-Pz,0.76,-,0.40,-,
15,Umra,-1.38,-,-0.40,-,
15,JHAJJAR:Badli,-,-,-0.94,-
15,Bagoa,-1.03,-1.65,0.29,-0.87,
15,Chamanpura,-0.33,2.81,1.50,1.77,
15,Chhara,-1.58,-0.70,-0.08,-0.59
15,Chuchakwas,-0.88,1.43,-0.14,-0.36,
15,Dighal,-0.59,0.33,1.87,0.09,
16,Dubhaldhan,-0.11,-,-0.32,-,
16,Dulhera,-0.83,0.10,1.47,1.59,
16,Hasanpur,-,-,-1.77,-,
16,Gabhana,-0.09,-,-,-,
16,Jhajjar,0.26,-0.20,1.13,1.13,
16,Kulasi,-1.03,-,-,-0.68,
16,Mudsa,-0.90,-,-0.57,-,
16,Salhawas,-,-,0.61,-,
16,Subnah,-,5.78,0.50,6.04,
16,Sankol,0.40,-,0.23,-,
17,Wazirpur,-0.42,-,0.58,-,
17,JIND:Alewa Pz,-,-,-,-
17,ATI Krishna1(s),3.46,-,6.76,-,
17,Baroda,0.44,-,0.56,-,
17,Bhuslana-Pz,0.27,-,0.72,-,
17,Brahmanwas,0.25,-,-0.12,-,
17,Chhabri,-0.86,1.57,0.92,1.17,
17,Dhandauli Pz,-24.95,-,3.12,-,
17,Dorana Pz,4.79,-,1.04,-,
17,Ghaso,2.54,-,5.75,-,
18,Jhamula,-1.50,-,-1.56,-1.26,
18,Julana Pz,-0.94,-,-1.18,-,
18,Khatkaran,1.19,-,0.64,-,
18,Korar,3.02,-,1.61,3.59,
18,Lochp Pz,-0.22,-,3.25,-,
18,Mohal Khera Pz,-1.03,-,-0.14,-,
18,Narwana S,-1.40,-,0.39,-,
18,Narwana S-Pz,0.56,-,-,-,
18,Pillukhera,2.68,-,0.78,-,
18,Safidon (s),4.14,-,3.89,-,
19,Safidon 1(s),0.82,-,2.89,-,
19,Uchana,-1.75,-,-,2.62,
19,Uchana Pz,-,-,-,-,
19,KAITHAL:Bhana-Pz,-,-,-0.50,-
19,Guhna,5.47,7.31,-,7.07,
19,Jakhauli-Pz,3.42,1.30,3.80,2.36,
19,Jandaula-Pz,-,-,1.28,-,
19,Jateri,1.91,-,3.02,-,
19,Kaithal S,-11.02,-,-,-,
19,Kalayat,-0.97,-,-0.13,-,
20,Kalayat S,0.24,-,1.76,-,
20,Kathana-Pz,1.87,2.85,-,-,
20,Kelaram,0.43,-,2.79,-,
20,Kheorak-Pz,2.31,-,5.03,-,
20,Manaspatti-Pz,1.82,2.81,2.79,3.69,
20,Mataur,0.49,-,1.96,-,
20,Mundri,3.24,-,1.98,-,
20,Padla 1(s),1.68,-,-,-,
20,Peoda_Pz,-0.01,-,2.13,-,
20,Pundri(s),5.46,-,6.90,-,
21,Rajaund-Pz,-1.32,-,0.60,-,
21,Rajound S,3.86,-,-,-,
21,Sirsal-Pz,1.87,-,3.94,-
21,Titiana 1(s),5.78,-,-,-,
21,KARNAL:Amin S,3.74,-,1.93,-
21,Balhera-s,-0.41,-,-,-,
21,Dadupur Khurd-Pz,-1.05,-,0.13,3.05,
21,Dhomsi(shallow),1.00,-,-,-,
21,Dingar Majra-Pz,0.76,10.08,1.34,2.59,
21,Domsi D,0.27,-,-,-,
22,Faridpur-Pz,1.25,-0.80,3.55,1.48,
22,Gangatheri,6.63,9.22,10.66,-,
22,Garhi Khajur S,1.38,-,2.66,-,
22,Indri,-,-5.30,-0.83,-,
22,Jabhala-Pz,-1.13,-,-,-,
22,Jaroli Khurd-Pz,-0.27,-,-0.18,-,
22,Jundla1,3.42,-,6.31,-,
22,Kalri Jagir S,-0.74,-,-2.05,-,
22,Kutail S,2.40,-,3.60,-,
22,Majra Roran,6.92,-,5.47,-,
23,Makhala S,0.19,-,0.10,-,
23,Mohidinpur-Pz,-0.43,-,-0.30,0.90,
23,Mound S,4.82,-,6.46,-,
23,Nalvi Kalan-Pz,-0.30,-,-1.52,-,
23,Nanhera,-0.41,-,-,-,
23,Phurlak S,2.11,-,3.52,-,
23,Salwan-B,3.76,-,-,-,
23,Sambli-Pz-M,-,-,-,-,
23,Sambli-Pz-S,-,-,-,-,
23,Saunkra S,4.77,-,-,-,
24,Sugar Cane Breeding Farm,-0.03,-,-,-,
24,KURUKSHETRA:Bachki-Pz,-0.25,3.68,3.16,-
24,Ban- Pz,-1.01,1.65,-0.03,-,
24,Baronda-Pz,-1.03,1.15,-2.72,1.28,
24,Berthala S,3.66,-,3.37,-,
24,Bodhni (s),7.71,-,5.47,-,
24,Dabkhera-Pz,-0.27,3.36,0.36,-,
24,Hatira  (s),4.05,-,2.94,-,
24,Ishaque S,4.94,-,3.98,-,
24,Kaulapur S,4.68,-,3.92,-,
25,Malikpur-Singhpura-Pz,-0.55,2.40,0.61,-,
25,Murtzapur-Pz,1.45,0.83,0.93,-,
25,Pehowa 3 (s),6.69,-,-,-,
25,Samalkhi-Pz,5.56,-,-2.45,-,
25,Sirsala-Pz,0.71,-,5.09,-,
25,MAHENDRAGARH:Buwana-Pz,1.63,3.60,5.82,-
25,Khatodra-Pz,1.72,-,7.41,-,
25,Lukhi,1.83,-,1.13,0.86,
25,Narnaul,-2.34,-3.98,0.24,-3.52,
25,PANCHKULA:Devnagar(Panchkula),0.33,-,-0.61,-0.59
26,Dharampur,0.88,-,0.35,-,
26,Kakar Majra,0.46,-,-0.10,-,
26,Khera,0.92,-,0.27,-,
26,Parwala,-0.70,-,-0.85,-,
26,Patwi,0.72,1.09,1.51,1.21,
26,Raipur Rani-Pz,-,-,-,-,
26,Raipurrani,-0.44,-7.68,0.86,-
26,PANIPAT:Babail Pz S,0.60,-,1.65,-
26,Babail VS-Pz,-,-,3.43,-,
26,Bhallour Pz,-,-,-2.60,-,
27,Dakadla S,0.05,-,-3.46,-,
27,Dharamgarh S,-,-,2.44,-,
27,Etola-Pz-M,-,-,0.65,-,
27,Etola-Pz-S,-,-,0.59,-,
27,Hathwala-Pz,-1.24,0.35,0.47,-0.37,
27,Israna Pz,0.46,-,1.60,-,
27,Karhansh Pz,1.67,-,2.55,-,
27,Khalila Manjran,-0.12,-,0.71,0.90,
27,Khelalla Pehl S,6.16,-,7.13,-,
27,Lohari (s),0.10,-,0.41,-,
28,Nariana-PZ,1.30,-,2.12,2.29,
28,Nimbri- Pz,1.82,1.54,1.30,3.56,
28,Patti Kalyana S,-,-,8.39,-,
28,Puther Pz,-,-,0.17,-,
28,Sanauli Khurd-Pz,1.55,4.03,-0.42,-,
28,Shahpur,1.22,-,2.38,-,
28,Sink,-0.39,-,0.10,-,
28,Untilya,-0.07,1.73,1.40,0.86,
28,Urlana Kalan,0.41,-,-0.18,1.41,
28,REWARI:Bahu,-0.40,-,-1.41,-
29,Bawal,-,-,-,-0.15,
29,Bawal DW,-0.19,-0.06,0.18,-,
29,Bawal Pz,-0.82,-,1.12,-,
29,Gangaichajat,-,-,5.99,-,
29,Karnawas,-1.09,-,1.46,-,
29,Kosli,-1.24,-,-,-,
29,Mandola-Pz,-2.16,1.25,1.65,-,
29,Rholiawas-Pz,-,-,0.56,-,
29,Sangwari,6.30,-,-4.55,-,
29,ROHTAK:Baland,-0.28,-,-4.99,-
30,Bhal Anandpur,-0.42,-,0.52,0.30,
30,Hassangarh,-,-0.10,0.55,-4.49,
30,Kansala,-1.29,-0.61,-0.21,-,
30,Kharawar,-0.33,1.23,1.74,-,
30,Lakhan Majara,-1.75,-,-1.28,-,
30,Madina,-1.03,-0.42,-0.22,-0.40,
30,Mahem,1.85,2.75,4.22,3.95,
30,Samargopalpur,0.54,0.54,0.17,-0.07,
30,Sampla,-0.39,-,-0.63,-,
30,Sampla -Pz,-,-,-2.12,-,
31,SIRSA:Bhuratwala-Pz,-0.93,-,-0.22,-
31,Chormar,0.68,-,1.24,-,
31,Chptala,-,-,1.46,-,
31,Chotala-Pz,-0.72,-0.10,0.07,-,
31,Dabwali Dw,-0.53,-,0.44,-,
31,Dabwali -Pz S,-4.59,1.19,-0.88,-,
31,Darba Kalan-Pz,0.40,0.30,0.15,0.29,
31,Ding,3.00,-,3.05,-,
31,Ganga,-,-,0.95,-,
31,Ghushiana,-0.53,-0.75,0.44,-,
32,Gigorani,-0.66,0.76,0.69,-,
32,Goriwala,0.96,1.09,0.58,-
32,Goriwala-Pz,-0.56,-0.08,-,-,
32,Jamal,-3.62,-,-2.12,-,
32,Jamal- Pz,-0.71,-,-,-,
32,Kalanwali Mandi-Pz,-5.32,-,0.15,-,
32,Kaluwana,0.27,-,0.82,-,
32,Karamsana,-1.93,-,-1.22,-,
32,Kash Ram Dhab,1.74,-,1.97,-,
32,Khuyian,-,-,-,-,
33,Mammer Khera-Pz,-0.67,-,-,-,
33,Mangala-Pz,1.92,-,2.58,-,
33,Manjiyana,1.35,2.14,1.88,-,
33,Mastian,-,-,1.17,-,
33,Mithri,3.30,-,3.81,-,
33,Nuhian Wali,2.12,-,1.69,-,
33,Odhan Pz,0.74,-,1.21,-,
33,Panniwala Mota,-0.01,0.18,-0.30,-,
33,Phaggu-Pz,-0.21,0.23,-0.04,-,
33,Rasalia Khera,1.83,2.03,1.39,-,
34,Rori -DW,-,-,0.65,-,
34,Saktakhera,-0.95,-,-0.40,-0.42,
34,Shergarh - DW,-,-,0.11,-,
34,Sherpura,-0.11,-0.25,-0.16,-0.25,
34,Sirsa -PZ,-,-,1.66,-,
34,Sri Jiwan Nagar-B,7.25,-,8.26,-,
34,Taruwana,0.96,-2.80,1.15,-,
34,Tejakhera,-0.56,-,-0.83,-,
34,SONIPAT:Ahulana,-2.18,-0.97,-1.60,-
34,Barauli - pz,-,-0.75,-0.31,-,
35,Barswani- DW,1.52,-,2.32,-,
35,Barwasni Pz (s),1.01,-,2.43,-,
35,Bega -PZ,-,-,-0.08,--,
35,Bhainswal,-1.92,-,-1.19,-,
35,Bhunderi,-2.28,-,-1.47,-,
35,Bichpuri 1,-,-,2.22,-,
35,Bohela,-1.24,-,-0.24,-,
35,Butana,0.55,-0.34,1.06,-,
35,Chirana,-0.47,2.72,-,--,
35,Datauli-Pz,0.54,-,1.51,---,
36,Farmana,-1.88,-1.48,-1.68,--,
36,Garhwal,-0.95,-,0.02,-,
36,Gohana - Pz,-,-,2.82,-,
36,Jagsi,-0.63,-,-0.07,-,
36,Janti Khurd-Pz,-,-,0.43,-,
36,Jhakauli- Pz,-0.37,-,2.95,-,
36,Kami- PZ,1.22,-,0.96,-,
36,Kathura Pz,-0.14,-,0.39,--,
36,Khanpur Kalan-Pz,-2.39,-,1.12,-,
36,KheoraPz,-0.12,-,1.51,-,
37,Lath,-0.11,1.24,0.78,-,
37,Machhri,0.56,-,0.30,-,
37,Manauli-Pz,-,-,-,-,
37,Mahara,-1.01,-,0.82,-,
37,Mohana Pzm,-1.42,-,0.61,-,
37,Manauli – Pz,-,-2.06,0.32,--,
37,Mundlana DW,1.54,-,2.68,3.48
37,Mundlana- Pz,-0.65,4.02,0.73,-,
37,Murthal-Pz,1.23,3.00,0.65,-,
37,Nahri,0.80,1.22,0.06,-,
38,Pinana,-1.55,-,0.60,-,
38,Pugthala-Pz,-0.75,0.03,1.30,-,
38,Purkhas-Pz,0.70,-0.44,2.31,-,
38,Rai(Bahalgarh),0.25,-,1.08,-,
38,Rasoi pz,-,-,-,-,
38,Rathdhana-Pz,1.02,7.20,0.31,-,
38,Rohat,-1.08,-0.57,3.54,-,
38,Rukhi-Pz,-1.12,-0.20,1.28,-,
38,Sisnah,-0.70,-,0.19,-,
38,YAMUNANAGAR:Amadalpur,2.55,-,-,-
39,Amadalpur-DW,-,-,-,-,
39,Bhambauli-1 (m),-4.63,-,-,-,
39,Bilaspur DW,-1.65,-,-,-,
39,Chhachrauli S,1.44,-,2.75,-,
39,Choli,-0.57,-,0.10,-,
39,Dhanauri S,-0.65,-,0.21,-,
39,Dhaurang S,-0.16,-,-,--,
39,Jhiwarheri S,-0.23,-,2.44,-,
39,Khizrabad,-0.39,-,0.57,-,
39,Mustafabad DW,0.57,1.19,1.45,0.09,
40,Mustafabad-Pz,-0.61,-,0.17,-,
40,Naggal-S,-1.13,-,0.02,-,
40,Radaur S,-0.30,-,-,-,
40,Rasulpur,-,-,-,-,
40,Rasulpur DW,-1.55,-,1.02,-,
40,Sabri,-0.71,-0.40,-0.24,-,
40,Sadhaura DW,-1.26,0.35,-3.26,-,
40,Sadhaura S,-1.00,-,-0.47,-,
40,Shadipur,-1.13,-,0.47,-,
